label_combination,count,percentage
randomness + synthesized_image | interaction=no | time_based + visual,2096,0.11726530155533177
processed_image + randomness + synthesized_image | interaction=yes | time_based + visual,1861,0.10411771287904219
synthesized_image | interaction=no | time_based + visual,1543,0.08632650777665883
synthesized_image | interaction=yes | time_based + visual,1264,0.07071724292268099
processed_image + synthesized_image | interaction=yes | time_based + visual,1091,0.061038379769497594
randomness + synthesized_image | interaction=yes | time_based + visual,1028,0.05751370706053485
synthesized_image | interaction=no | static + visual,997,0.055779344298981764
processed_audio + synthesized_image | interaction=yes | auditory + time_based + visual,597,0.033400469956361194
processed_text + randomness + synthesized_text | interaction=yes | time_based + visual,379,0.021203983439632985
processed_image + synthesized_image | interaction=no | time_based + visual,363,0.020308828465928165
processed_text + synthesized_text | interaction=yes | static + visual,353,0.01974935660736265
randomness + synthesized_image | interaction=no | static + visual,336,0.018798254447801276
processed_image + synthesized_image | interaction=no | static + visual,312,0.01745552198724404
processed_image | interaction=no | static + visual,304,0.01700794450039163
randomness + synthesized_image + synthesized_text | interaction=yes | time_based + visual,283,0.01583305359740405
processed_audio + processed_image + randomness + synthesized_image + synthesized_sound | interaction=yes | auditory + time_based + visual,281,0.015721159225690947
synthesized_image + synthesized_text | interaction=yes | time_based + visual,261,0.01460221550855992
randomness + synthesized_text | interaction=yes | time_based + visual,250,0.013986796464137854
processed_text + synthesized_text | interaction=no | static + visual,231,0.012923799932863377
synthesized_text | interaction=yes | time_based + visual,217,0.012140539330871657
processed_text + synthesized_image + synthesized_text | interaction=no | static + visual,135,0.0075528700906344415
processed_image + synthesized_text | interaction=yes | time_based + visual,134,0.007496922904777889
processed_image + synthesized_image + synthesized_text | interaction=yes | time_based + visual,133,0.007440975718921338
processed_image + randomness + synthesized_image | interaction=no | time_based + visual,131,0.0073290813472082356
processed_text + synthesized_image | interaction=yes | time_based + visual,131,0.0073290813472082356
processed_image + randomness + synthesized_image + synthesized_sound | interaction=yes | auditory + time_based + visual,128,0.007161239789638581
synthesized_text | interaction=yes | static + visual,126,0.007049345417925478
processed_image + randomness + synthesized_image | interaction=no | static + visual,125,0.006993398232068927
processed_audio + synthesized_image + synthesized_sound | interaction=yes | auditory + time_based + visual,118,0.006601767931073067
synthesized_image + synthesized_text | interaction=no | time_based + visual,113,0.00632203200179031
synthesized_image + synthesized_sound | interaction=yes | auditory + time_based + visual,111,0.0062101376300772075
randomness + synthesized_image + synthesized_sound | interaction=yes | auditory + time_based + visual,107,0.005986348886651002
synthesized_image + synthesized_text | interaction=no | static + visual,106,0.00593040170079445
processed_text | interaction=yes | static + visual,105,0.005874454514937899
synthesized_image + synthesized_text | interaction=yes | static + visual,102,0.005706612957368244
processed_text + synthesized_text | interaction=yes | time_based + visual,98,0.005482824213942038
randomness + synthesized_text | interaction=no | static + visual,92,0.00514714109880273
processed_audio + randomness + synthesized_image | interaction=yes | auditory + time_based + visual,89,0.004979299541233076
synthesized_image | interaction=yes | static + visual,64,0.0035806198948192904
processed_text + randomness + synthesized_image | interaction=no | time_based + visual,64,0.0035806198948192904
processed_text + randomness + synthesized_text | interaction=no | static + visual,57,0.0031889895938234307
processed_text + randomness + synthesized_image + synthesized_text | interaction=yes | time_based + visual,57,0.0031889895938234307
synthesized_sound | interaction=yes | auditory + time_based + visual,55,0.0030770952221103277
processed_image + randomness + synthesized_sound | interaction=yes | auditory + time_based + visual,54,0.0030211480362537764
processed_audio + synthesized_image | interaction=no | time_based + visual,53,0.002965200850397225
processed_audio + synthesized_text | interaction=no | auditory + time_based + visual,49,0.002741412106971019
processed_audio + synthesized_sound | interaction=yes | auditory + time_based,49,0.002741412106971019
processed_audio + synthesized_image | interaction=yes | time_based + visual,48,0.002685464921114468
