label_combination,count,percentage
processed_image + randomness + synthesized_image | interaction=yes | time_based + visual,1625,0.16302166934189405
synthesized_image | interaction=yes | time_based + visual,795,0.07975521669341894
processed_image + synthesized_image | interaction=yes | time_based + visual,773,0.07754815409309791
synthesized_image | interaction=no | time_based + visual,745,0.07473916532905298
synthesized_image | interaction=no | static + visual,587,0.0588884430176565
randomness + synthesized_image | interaction=no | time_based + visual,575,0.05768459069020867
randomness + synthesized_image | interaction=yes | time_based + visual,513,0.05146468699839486
processed_image | interaction=no | static + visual,302,0.030296950240770466
processed_audio + processed_image + randomness + synthesized_image + synthesized_sound | interaction=yes | auditory + time_based + visual,281,0.028190208667736756
processed_audio + synthesized_image | interaction=yes | auditory + time_based + visual,249,0.024979935794542538
randomness + synthesized_image + synthesized_text | interaction=yes | time_based + visual,248,0.024879614767255216
synthesized_image + synthesized_text | interaction=yes | time_based + visual,222,0.022271268057784913
processed_image + synthesized_image | interaction=no | static + visual,210,0.021067415730337078
randomness + synthesized_image | interaction=no | static + visual,184,0.018459069020866775
processed_image + synthesized_image | interaction=no | time_based + visual,170,0.017054574638844303
processed_text + synthesized_image + synthesized_text | interaction=no | static + visual,135,0.013543338683788122
processed_image + synthesized_text | interaction=yes | time_based + visual,134,0.013443017656500803
processed_image + randomness + synthesized_image + synthesized_sound | interaction=yes | auditory + time_based + visual,128,0.012841091492776886
processed_text + synthesized_text | interaction=no | static + visual,123,0.012339486356340289
processed_audio + synthesized_image + synthesized_sound | interaction=yes | auditory + time_based + visual,104,0.01043338683788122
processed_image + randomness + synthesized_image | interaction=no | time_based + visual,102,0.010232744783306581
randomness + synthesized_text | interaction=yes | time_based + visual,100,0.010032102728731942
synthesized_text | interaction=yes | time_based + visual,93,0.009329855537720706
processed_image + synthesized_image + synthesized_text | interaction=yes | time_based + visual,72,0.0072231139646869984
synthesized_image + synthesized_text | interaction=yes | static + visual,63,0.006320224719101123
synthesized_image + synthesized_text | interaction=no | static + visual,62,0.006219903691813804
processed_image + randomness + synthesized_image | interaction=no | static + visual,60,0.006019261637239166
synthesized_image + synthesized_text | interaction=no | time_based + visual,57,0.005718298555377207
processed_text + randomness + synthesized_text | interaction=yes | time_based + visual,55,0.005517656500802568
synthesized_image + synthesized_sound | interaction=yes | auditory + time_based + visual,52,0.00521669341894061
processed_text + synthesized_image | interaction=yes | time_based + visual,50,0.005016051364365971
randomness + synthesized_image + synthesized_sound | interaction=yes | auditory + time_based + visual,49,0.0049157303370786515
processed_audio + synthesized_sound | interaction=yes | auditory + time_based,49,0.0049157303370786515
processed_audio + synthesized_image | interaction=no | time_based + visual,47,0.0047150882825040125
processed_text + randomness + synthesized_image | interaction=no | static + visual,44,0.004414125200642055
processed_audio + synthesized_sound | interaction=yes | auditory + time_based + visual,43,0.004313804173354735
processed_audio + processed_image + randomness + synthesized_image | interaction=yes | auditory + time_based + visual,37,0.0037118780096308188
processed_data + randomness + synthesized_image | interaction=yes | time_based + visual,35,0.0035112359550561797
randomness + synthesized_image + synthesized_text | interaction=no | static + visual,35,0.0035112359550561797
randomness + synthesized_text | interaction=no | static + visual,34,0.0034109149277688606
processed_image + randomness + synthesized_sound | interaction=yes | auditory + time_based + visual,33,0.003310593900481541
processed_audio + randomness + synthesized_image | interaction=yes | auditory + time_based + visual,33,0.003310593900481541
processed_image + randomness + synthesized_image + synthesized_text | interaction=yes | time_based + visual,31,0.003109951845906902
randomness | interaction=yes | time_based + visual,29,0.0029093097913322633
processed_text + synthesized_image | interaction=no | static + visual,26,0.002608346709470305
synthesized_image + synthesized_sound | interaction=no | auditory + time_based + visual,26,0.002608346709470305
processed_audio + synthesized_image | interaction=yes | time_based + visual,25,0.0025080256821829855
processed_text + randomness + synthesized_text | interaction=no | static + visual,23,0.002307383627608347
processed_audio + synthesized_image + synthesized_sound | interaction=no | auditory + time_based + visual,20,0.0020064205457463883
none | interaction=no | static + visual,19,0.001906099518459069
processed_audio + synthesized_image | interaction=no | auditory + time_based + visual,19,0.001906099518459069
synthesized_text | interaction=no | static + visual,18,0.0018057784911717496
processed_text + randomness + synthesized_image | interaction=yes | time_based + visual,17,0.0017054574638844303
randomness + synthesized_image + synthesized_text | interaction=no | time_based + visual,15,0.0015048154093097914
processed_data + synthesized_image | interaction=yes | time_based + visual,15,0.0015048154093097914
synthesized_image | interaction=yes | static + visual,14,0.0014044943820224719
randomness + synthesized_image + synthesized_sound | interaction=no | auditory + time_based + visual,13,0.0013041733547351525
processed_audio + synthesized_image + synthesized_text | interaction=yes | auditory + time_based + visual,12,0.001203852327447833
processed_text + randomness + synthesized_image + synthesized_text | interaction=no | static + visual,11,0.0011035313001605137
processed_text + synthesized_text | interaction=yes | static + visual,11,0.0011035313001605137
processed_audio + randomness + synthesized_image | interaction=no | time_based + visual,11,0.0011035313001605137
processed_audio + processed_image + synthesized_image + synthesized_sound | interaction=yes | auditory + time_based + visual,10,0.0010032102728731941
processed_text + randomness + synthesized_text | interaction=yes | static + visual,10,0.0010032102728731941
processed_audio + synthesized_sound + synthesized_text | interaction=yes | auditory + time_based + visual,10,0.0010032102728731941
randomness | interaction=no | static + visual,10,0.0010032102728731941
synthesized_sound + synthesized_text | interaction=yes | auditory + time_based + visual,9,0.0009028892455858748
processed_image + synthesized_text | interaction=no | static + visual,9,0.0009028892455858748
none | interaction=no | static,8,0.0008025682182985554
processed_text + synthesized_text | interaction=yes | time_based + visual,8,0.0008025682182985554
processed_audio + randomness + synthesized_image + synthesized_text | interaction=yes | auditory + time_based + visual,8,0.0008025682182985554
randomness + synthesized_text | interaction=no | time_based + visual,8,0.0008025682182985554
processed_audio | interaction=yes | auditory + time_based + visual,8,0.0008025682182985554
processed_audio + processed_text + synthesized_image | interaction=yes | time_based + visual,8,0.0008025682182985554
processed_audio + synthesized_text | interaction=yes | auditory + time_based + visual,7,0.0007022471910112359
randomness + synthesized_sound + synthesized_text | interaction=yes | auditory + time_based + visual,7,0.0007022471910112359
processed_image + synthesized_image | interaction=yes | static + visual,7,0.0007022471910112359
processed_image + randomness + synthesized_image + synthesized_text | interaction=no | time_based + visual,6,0.0006019261637239165
processed_image + synthesized_image + synthesized_text | interaction=no | time_based + visual,6,0.0006019261637239165
processed_image + processed_text + synthesized_image | interaction=yes | time_based + visual,6,0.0006019261637239165
none | interaction=yes | static + visual,6,0.0006019261637239165
processed_audio | interaction=yes | auditory + time_based,6,0.0006019261637239165
processed_text | interaction=no | static + visual,6,0.0006019261637239165
processed_image + randomness | interaction=no | static + visual,6,0.0006019261637239165
processed_text + randomness + synthesized_text | interaction=no | time_based + visual,5,0.0005016051364365971
processed_image + synthesized_image + synthesized_text | interaction=no | static + visual,5,0.0005016051364365971
processed_text + synthesized_image + synthesized_text | interaction=yes | time_based + visual,5,0.0005016051364365971
synthesized_sound | interaction=yes | auditory + time_based,5,0.0005016051364365971
processed_audio + randomness + synthesized_image + synthesized_sound | interaction=no | auditory + time_based + visual,5,0.0005016051364365971
processed_audio | interaction=no | auditory + time_based,5,0.0005016051364365971
processed_image | interaction=yes | time_based + visual,5,0.0005016051364365971
processed_audio | interaction=yes | time_based + visual,5,0.0005016051364365971
processed_image + processed_text | interaction=yes | static + visual,4,0.0004012841091492777
processed_audio + synthesized_text | interaction=yes | time_based + visual,4,0.0004012841091492777
processed_image + synthesized_image + synthesized_sound | interaction=yes | auditory + time_based + visual,4,0.0004012841091492777
processed_image + processed_text + synthesized_image | interaction=no | static + visual,4,0.0004012841091492777
processed_text + randomness + synthesized_image + synthesized_text | interaction=yes | time_based + visual,3,0.00030096308186195825
processed_text + randomness + synthesized_sound | interaction=yes | auditory + time_based,3,0.00030096308186195825
processed_image | interaction=no | time_based + visual,3,0.00030096308186195825
processed_audio + processed_image | interaction=yes | auditory + time_based + visual,3,0.00030096308186195825
processed_audio + processed_image + synthesized_image | interaction=yes | auditory + time_based + visual,3,0.00030096308186195825
processed_text + randomness + synthesized_image | interaction=no | time_based + visual,3,0.00030096308186195825
processed_audio + randomness + synthesized_image | interaction=no | auditory + time_based + visual,3,0.00030096308186195825
processed_image + randomness + synthesized_image + synthesized_text | interaction=no | static + visual,3,0.00030096308186195825
processed_text + synthesized_image + synthesized_text | interaction=yes | static + visual,2,0.00020064205457463884
processed_audio + randomness + synthesized_image | interaction=yes | time_based + visual,2,0.00020064205457463884
processed_audio + synthesized_image + synthesized_text | interaction=yes | static + visual,2,0.00020064205457463884
processed_image + processed_text | interaction=yes | time_based + visual,2,0.00020064205457463884
processed_image + processed_text + randomness + synthesized_image | interaction=yes | time_based + visual,2,0.00020064205457463884
processed_audio + processed_image + randomness + synthesized_sound + synthesized_text | interaction=yes | auditory + time_based + visual,2,0.00020064205457463884
processed_audio + processed_image + randomness + synthesized_image + synthesized_sound + synthesized_text | interaction=yes | auditory + time_based + visual,2,0.00020064205457463884
randomness + synthesized_image + synthesized_text | interaction=yes | static + visual,2,0.00020064205457463884
processed_text + synthesized_sound | interaction=yes | auditory + time_based,2,0.00020064205457463884
processed_image + processed_text + randomness + synthesized_text | interaction=yes | time_based + visual,2,0.00020064205457463884
processed_audio + processed_image + synthesized_text | interaction=yes | time_based + visual,1,0.00010032102728731942
processed_text + randomness | interaction=yes | time_based + visual,1,0.00010032102728731942
processed_image + randomness | interaction=yes | time_based + visual,1,0.00010032102728731942
processed_audio + processed_image | interaction=no | auditory + time_based + visual,1,0.00010032102728731942
processed_audio + processed_image + randomness + synthesized_image + synthesized_text | interaction=yes | auditory + time_based + visual,1,0.00010032102728731942
processed_image + randomness + synthesized_image + synthesized_text | interaction=yes | auditory + time_based + visual,1,0.00010032102728731942
processed_text + synthesized_text | interaction=no | time_based + visual,1,0.00010032102728731942
processed_image + processed_text + synthesized_image + synthesized_text | interaction=yes | time_based + visual,1,0.00010032102728731942
processed_audio + processed_image + synthesized_image + synthesized_sound + synthesized_text | interaction=yes | auditory + time_based + visual,1,0.00010032102728731942
processed_image + synthesized_image + synthesized_sound | interaction=yes | time_based + visual,1,0.00010032102728731942
processed_audio + processed_image + synthesized_image + synthesized_text | interaction=yes | auditory + time_based + visual,1,0.00010032102728731942
processed_image + synthesized_image + synthesized_sound + synthesized_text | interaction=yes | auditory + time_based + visual,1,0.00010032102728731942
processed_image + processed_text + randomness + synthesized_image | interaction=no | static + visual,1,0.00010032102728731942
processed_text + randomness + synthesized_image + synthesized_text | interaction=no | time_based + visual,1,0.00010032102728731942
processed_audio + processed_image + synthesized_image | interaction=no | auditory + time_based + visual,1,0.00010032102728731942
processed_image + randomness + synthesized_image + synthesized_sound | interaction=no | auditory + time_based + visual,1,0.00010032102728731942
processed_audio + randomness + synthesized_image + synthesized_text | interaction=yes | time_based + visual,1,0.00010032102728731942
processed_audio + synthesized_image + synthesized_sound + synthesized_text | interaction=yes | auditory + time_based + visual,1,0.00010032102728731942
processed_image + synthesized_image + synthesized_text | interaction=yes | static + visual,1,0.00010032102728731942
processed_image + processed_text + synthesized_image + synthesized_text | interaction=no | time_based + visual,1,0.00010032102728731942
processed_image + processed_text + synthesized_image + synthesized_text | interaction=no | static + visual,1,0.00010032102728731942
synthesized_image + synthesized_sound + synthesized_text | interaction=yes | auditory + time_based + visual,1,0.00010032102728731942
processed_image + randomness + synthesized_text | interaction=no | static + visual,1,0.00010032102728731942
processed_image + processed_text + synthesized_text | interaction=no | static + visual,1,0.00010032102728731942
processed_audio + synthesized_image + synthesized_text | interaction=yes | time_based + visual,1,0.00010032102728731942
synthesized_sound | interaction=no | auditory + time_based,1,0.00010032102728731942
processed_image + synthesized_sound + synthesized_text | interaction=yes | auditory + time_based + visual,1,0.00010032102728731942
processed_audio + processed_image + randomness + synthesized_image | interaction=yes | time_based + visual,1,0.00010032102728731942
processed_image + randomness + synthesized_image | interaction=yes | static + visual,1,0.00010032102728731942
processed_text + synthesized_image | interaction=no | time_based + visual,1,0.00010032102728731942
processed_audio + randomness + synthesized_image + synthesized_sound | interaction=yes | auditory + time_based + visual,1,0.00010032102728731942
processed_data + randomness + synthesized_image | interaction=no | time_based + visual,1,0.00010032102728731942
none | interaction=yes | time_based + visual,1,0.00010032102728731942
processed_audio + processed_image + synthesized_image + synthesized_sound | interaction=no | auditory + time_based + visual,1,0.00010032102728731942
processed_audio + randomness + synthesized_text | interaction=yes | auditory + time_based + visual,1,0.00010032102728731942
synthesized_text | interaction=yes | static + visual,1,0.00010032102728731942
