rank,label_combination,count_in_clean_json,available_after_filter,sampled,notebook_path
1,randomness + synthesized_image | interaction=no | time_based + visual,2096,575,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/01_randomness_synthesized_image_interaction_no_time_based_visual_15_random_src.ipynb
2,processed_image + randomness + synthesized_image | interaction=yes | time_based + visual,1861,1625,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/02_processed_image_randomness_synthesized_image_interaction_yes_time_based_visual_15_random_src.ipynb
3,synthesized_image | interaction=no | time_based + visual,1543,745,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/03_synthesized_image_interaction_no_time_based_visual_15_random_src.ipynb
4,synthesized_image | interaction=yes | time_based + visual,1264,795,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/04_synthesized_image_interaction_yes_time_based_visual_15_random_src.ipynb
5,processed_image + synthesized_image | interaction=yes | time_based + visual,1091,773,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/05_processed_image_synthesized_image_interaction_yes_time_based_visual_15_random_src.ipynb
6,randomness + synthesized_image | interaction=yes | time_based + visual,1028,513,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/06_randomness_synthesized_image_interaction_yes_time_based_visual_15_random_src.ipynb
7,synthesized_image | interaction=no | static + visual,997,587,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/07_synthesized_image_interaction_no_static_visual_15_random_src.ipynb
8,processed_audio + synthesized_image | interaction=yes | auditory + time_based + visual,597,249,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/08_processed_audio_synthesized_image_interaction_yes_auditory_time_based_visual_15_random_src.ipynb
9,processed_text + randomness + synthesized_text | interaction=yes | time_based + visual,379,55,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/09_processed_text_randomness_synthesized_text_interaction_yes_time_based_visual_15_random_src.ipynb
10,processed_image + synthesized_image | interaction=no | time_based + visual,363,170,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/10_processed_image_synthesized_image_interaction_no_time_based_visual_15_random_src.ipynb
11,processed_text + synthesized_text | interaction=yes | static + visual,353,11,11,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/11_processed_text_synthesized_text_interaction_yes_static_visual_15_random_src.ipynb
12,randomness + synthesized_image | interaction=no | static + visual,336,184,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/12_randomness_synthesized_image_interaction_no_static_visual_15_random_src.ipynb
13,processed_image + synthesized_image | interaction=no | static + visual,312,210,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/13_processed_image_synthesized_image_interaction_no_static_visual_15_random_src.ipynb
14,processed_image | interaction=no | static + visual,304,302,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/14_processed_image_interaction_no_static_visual_15_random_src.ipynb
15,randomness + synthesized_image + synthesized_text | interaction=yes | time_based + visual,283,248,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/15_randomness_synthesized_image_synthesized_text_interaction_yes_time_based_visual_15_random_src.ipynb
16,processed_audio + processed_image + randomness + synthesized_image + synthesized_sound | interaction=yes | auditory + time_based + visual,281,281,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/16_processed_audio_processed_image_randomness_synthesized_image_synthesized_sound_interaction_15_random_src.ipynb
17,synthesized_image + synthesized_text | interaction=yes | time_based + visual,261,222,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/17_synthesized_image_synthesized_text_interaction_yes_time_based_visual_15_random_src.ipynb
18,randomness + synthesized_text | interaction=yes | time_based + visual,250,100,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/18_randomness_synthesized_text_interaction_yes_time_based_visual_15_random_src.ipynb
19,processed_text + synthesized_text | interaction=no | static + visual,231,123,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/19_processed_text_synthesized_text_interaction_no_static_visual_15_random_src.ipynb
20,synthesized_text | interaction=yes | time_based + visual,217,93,20,/home/rpinter/art-in-swh/artworks/PROMPT_10f_20260603/label_distribution_manual_check/top10_label_combinations_notebooks/20_synthesized_text_interaction_yes_time_based_visual_15_random_src.ipynb
